time,open,high,low,close
1382576520,204.4,204.4,204.4,204.4
1382576580,204.39,204.4,204.39,204.4
1382576640,204.4,204.4,204.39,204.4
1382576700,204.4,204.7,204.4,204.7
1382576760,204.7,204.71,204.4,204.42
1382576820,204.43,204.43,204.42,204.43
1382576880,204.46,204.46,204.42,204.42
1382576940,204.45,204.45,204.45,204.45
1382577000,204.69,204.73,204.69,204.73
1382577060,204.73,204.73,204.73,204.73
1382577120,204.73,204.73,204.45,204.45
1382577180,204.73,204.73,204.73,204.73
1382577240,204.73,204.73,204.73,204.73
1382577300,204.73,204.73,204.73,204.73
1382577360,204.71,204.73,204.71,204.73
1382577420,204.73,204.73,204.73,204.73
1382577480,204.74,204.78,204.74,204.78
1382577540,204.8,204.8,204.78,204.78
1382577600,204.8,204.8,204.8,204.8
1382577660,204.8,204.8,204.8,204.8
1382577720,204.8,204.8,204.78,204.8
1382577780,204.8,204.8,204.8,204.8
1382577840,204.8,204.81,204.8,204.81
1382577900,204.81,204.84,204.81,204.84
1382577960,204.84,204.95,204.84,204.95
1382578020,204.95,204.95,204.81,204.81
1382578080,204.95,204.95,204.95,204.95
1382578140,204.95,204.96,204.95,204.96
1382578200,204.96,204.96,204.96,204.96
1382578260,204.96,204.96,204.96,204.96
1382578320,204.96,204.96,204.81,204.81
1382578380,NaN,NaN,NaN,NaN
1382578440,204.95,204.95,204.95,204.95
1382578500,204.96,204.96,204.96,204.96
1382578560,204.96,204.96,204.96,204.96
1382578620,204.96,204.96,204.96,204.96
1382578680,204.96,204.96,204.96,204.96
1382578740,NaN,NaN,NaN,NaN
1382578800,204.96,204.96,204.96,204.96
1382578860,204.96,204.96,204.96,204.96
1382578920,NaN,NaN,NaN,NaN
1382578980,204.96,204.96,204.96,204.96
1382579040,204.96,204.96,204.96,204.96
1382579100,204.96,204.96,204.96,204.96
1382579160,204.96,204.96,204.96,204.96
1382579220,204.96,204.96,204.96,204.96
1382579280,204.96,204.96,204.96,204.96
1382579340,204.96,204.96,204.96,204.96
1382579400,204.96,204.96,204.96,204.96
1382579460,NaN,NaN,NaN,NaN
1382579520,204.96,204.96,204.96,204.96
1382579580,204.96,204.96,204.96,204.96
1382579640,204.96,204.96,204.96,204.96
1382579700,204.96,204.96,204.73,204.96
1382579760,204.96,204.96,204.96,204.96
1382579820,204.96,204.96,204.96,204.96
1382579880,204.96,204.96,204.96,204.96
1382579940,204.96,204.96,204.96,204.96
1382580000,204.96,204.97,204.74,204.97
1382580060,204.74,204.74,204.73,204.74
1382580120,NaN,NaN,NaN,NaN
1382580180,204.7,204.7,204.7,204.7
1382580240,NaN,NaN,NaN,NaN
1382580300,NaN,NaN,NaN,NaN
1382580360,204.7,204.7,204.7,204.7
